,CO,NO2,NOx,O3,PM10,SO2
2024-06-01,386.87543,6.94761,9.369916,67.59527,14.9835615,1.049245
2024-06-02,379.358,5.548301,6.598331,67.276474,13.106104,1.0173858
2024-06-03,416.73605,9.397006,11.242738,67.1081,19.031475,1.1848152
2024-06-04,414.03592,9.017756,9.674335,69.421844,17.061728,1.1025457
2024-06-05,412.06824,9.50143,11.282003,70.797615,16.516685,1.0468963
2024-06-06,402.6133,9.529509,13.620347,68.46312,15.825152,1.1185296
2024-06-07,393.8252,8.955046,12.585918,68.4643,15.32045,1.0841881
2024-06-08,405.55173,7.820342,10.908238,69.340126,14.61878,1.0076879
2024-06-09,390.20282,7.8289194,10.453703,69.75841,13.608992,1.0472478
2024-06-10,385.56137,8.340981,11.86525,70.34793,14.111506,1.0466769
2024-06-11,363.79623,8.211644,10.678013,68.64511,14.085407,1.0596082
2024-06-12,356.97818,8.7271595,10.996309,68.975624,14.743975,0.9949071
2024-06-13,374.379,8.715838,10.486181,69.78514,15.390611,1.0058538
2024-06-14,372.86234,8.730781,10.353403,71.089195,15.652096,1.0787842
2024-06-15,372.30188,7.0012507,9.42457,72.332085,15.331695,0.8857969
2024-06-16,371.4503,6.3571525,9.347447,70.84881,14.256102,0.9719986
2024-06-17,367.52246,8.532786,11.727939,70.224335,16.2742,0.9798954
2024-06-18,367.52246,8.712667,12.494816,71.26609,16.291187,0.99958605
2024-06-19,346.48904,8.7063465,12.124959,71.5585,16.295311,0.9334338
2024-06-20,332.09824,8.20151,11.387997,72.84434,16.375525,0.95364916
2024-06-21,324.74527,8.020464,10.543236,73.46714,18.379965,1.0873148
2024-06-22,301.57364,5.4821053,9.706071,73.885506,17.129332,0.887293
2024-06-23,288.6783,4.418686,8.182751,72.703674,14.205151,0.9326188
2024-06-24,342.10538,7.47713,8.945082,72.455925,15.898485,1.0902874
2024-06-25,307.81766,7.4167314,8.983369,71.7689,15.726684,1.0458207
2024-06-26,310.93668,8.057675,10.338478,71.72204,16.121979,0.8987209
2024-06-27,309.00626,7.7375154,10.816542,69.438965,16.31506,0.89482415
2024-06-28,313.23358,8.572826,11.487431,70.61525,16.373888,0.9899537
2024-06-29,301.93427,5.18619,10.771541,73.9135,16.141851,0.9794859
2024-06-30,312.84158,3.8567526,9.12672,73.0432,13.735466,1.0209771
2024-07-01,403.64975,9.057849,12.5403185,68.38694,18.580677,0.8528111
2024-07-02,390.67743,9.050231,12.54576,76.188225,19.5466,0.7962533
2024-07-03,388.92465,9.60212,11.725417,76.83761,18.007792,0.8328587
2024-07-04,403.7241,9.794343,11.852029,77.60729,18.475206,0.84739137
2024-07-05,393.4398,10.319925,13.186654,76.20119,18.87542,0.7990767
2024-07-06,354.93823,6.3319044,11.219226,76.680595,15.929075,0.74308634
2024-07-07,342.3033,3.774901,5.7120466,77.24063,11.579392,0.77895033
2024-07-08,325.8996,7.4580092,9.255883,74.4973,15.172419,0.80236775
2024-07-09,339.70364,7.6285424,10.361292,74.289215,16.079117,0.8030236
2024-07-10,333.47025,8.229806,10.207517,77.00649,16.53131,0.7590657
2024-07-11,329.21863,8.184445,10.130262,76.78987,17.941744,0.7813186
2024-07-12,327.38443,8.367798,10.042319,77.77107,17.910156,0.77256453
