name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Debrecen,2020-10-06,20.2,12.4,15.3,20.2,12.4,15.3,12.6,85.1,0.687,100,8.33,rain,0,0,28.1,14.2,171.4,1013.6,51.6,9.4,141,12.1,6,,2020-10-06T06:39:46,2020-10-06T18:02:31,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-07,19.6,11.7,15.2,19.6,11.7,15.2,12.8,86.9,0.203,100,16.67,rain,0,0,35.3,14.5,143.1,1011.8,51.7,9.5,74.8,6.4,3,,2020-10-07T06:41:10,2020-10-07T18:00:32,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-08,17.3,11.6,14.4,17.3,11.6,14.4,11.2,81.5,5.331,100,50,rain,0,0,61.2,26.1,352.6,1015.1,88.4,7.9,41.7,3.5,2,,2020-10-08T06:42:35,2020-10-08T17:58:34,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-09,18.9,6.3,12.6,18.9,6.3,12.3,8.2,77.4,0,0,0,,0,0,32.4,10.7,298.6,1021.1,27.5,9.1,138.5,12,5,,2020-10-09T06:43:59,2020-10-09T17:56:37,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-10,18.7,6.1,11.8,18.7,4.8,11.6,9.2,85.6,0,0,0,,0,0,13.7,8.2,53.8,1019.2,41.6,8.3,99.8,8.7,4,,2020-10-10T06:45:24,2020-10-10T17:54:40,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-11,17.5,9.2,12.6,17.5,9.2,12.6,10.7,88.7,0.001,100,4.17,rain,0,0,25.2,15.1,50.2,1015.7,55.8,8,74.9,6.5,3,,2020-10-11T06:46:50,2020-10-11T17:52:44,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-12,18.5,9.1,13,18.5,6.5,12.4,11.4,90.8,0.882,100,8.33,rain,0,0,39.6,17.7,53.2,1010.3,64,8.2,63.9,5.4,3,,2020-10-12T06:48:15,2020-10-12T17:50:48,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-13,13.5,6.2,9,13.5,1.4,6.4,8.4,96,21.008,100,62.5,rain,0,0.1,50.4,33.4,153.7,1002.4,93.7,6.1,10.5,0.9,1,,2020-10-13T06:49:41,2020-10-13T17:48:53,0.89,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-14,13.3,6.3,9.1,13.3,1.4,6.6,6.6,85.1,1.985,100,45.83,rain,0,0,57.6,37.5,199.8,1008.5,78.6,9.1,77.6,6.7,4,,2020-10-14T06:51:07,2020-10-14T17:46:59,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-15,15.9,5.9,11,15.9,5,10.8,9,88.5,0.207,100,8.33,rain,0,0,33.5,14.2,59.2,1013,75.8,9.7,65.2,5.6,3,,2020-10-15T06:52:34,2020-10-15T17:45:06,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
