Date,CO,NO2,NOx,O3,PM10,PM2.5,SO2
2021-07-09 00:00:00,227,7.9,13.0,"72,5",22.0,13,2.9
2021-07-10 00:00:00,219,6.9,12.6,"91,6",18.0,9,2.7
2021-07-11 00:00:00,215,6.5,12.4,"72,5",21.0,11,2.7
2021-07-12 00:00:00,233,7.5,12.9,"77,4",26.0,12,3.2
2021-07-13 00:00:00,252,8.8,15.2,"78,4",36.0,19,4.1
2021-07-14 00:00:00,251,8.5,15.4,"78,7",38.0,18,3.5
2021-07-15 00:00:00,247,10.4,18.2,"73,5",32.0,20,3.0
2021-07-16 00:00:00,223,14.1,22.3,"62,6",27.0,11,2.6
2021-07-17 00:00:00,200,12.4,19.5,"87,7",25.0,12,2.7
2021-07-18 00:00:00,198,10.1,17.4,"92,0",32.0,16,2.7
2021-07-19 00:00:00,171,12.0,20.7,"69,6",19.0,13,2.6
2021-07-20 00:00:00,146,8.9,15.8,"60,5",17.0,10,2.4
2021-07-21 00:00:00,143,10.5,17.5,"55,8",18.0,11,2.5
2021-07-22 00:00:00,132,11.4,19.4,"67,4",21.0,11,2.7
2021-07-23 00:00:00,164,10.7,17.9,"67,9",21.0,8,2.5
2021-07-24 00:00:00,176,8.6,14.6,"72,4",20.0,10,2.5
2021-07-25 00:00:00,193,5.9,11.5,"79,3",20.0,19,2.8
2021-07-26 00:00:00,243,9.0,16.2,"88,4",36.0,17,4.3
2021-07-27 00:00:00,278,9.6,16.8,"80,0",38.0,19,3.7
2021-07-28 00:00:00,249,9.4,16.7,"73,1",33.0,17,3.8
2021-07-29 00:00:00,230,7.9,15.1,"79,7",27.0,11,2.6
2021-07-30 00:00:00,259,11.3,19.5,"75,1",27.0,11,2.4
2021-07-31 00:00:00,273,11.2,20.3,"73,2",25.0,14,3.0
2021-08-01 00:00:00,251,8.5,17.7,"50,6",21.0,16,2.4
2021-08-02 00:00:00,187,8.2,16.8,"18,0",13.0,8,4.1
2021-08-03 00:00:00,202,12.4,20.7,"45,3",18.0,7,2.3
2021-08-04 00:00:00,207,9.9,18.1,"68,9",23.0,8,2.7
2021-08-05 00:00:00,224,10.3,20.5,"66,3",20.0,12,2.5
2021-08-06 00:00:00,190,8.9,17.0,"58,4",10.0,6,2.2
2021-08-07 00:00:00,211,7.5,13.2,"60,8",14.0,7,2.4
2021-08-08 00:00:00,233,9.5,16.2,"55,2",20.0,9,3.9
2021-08-09 00:00:00,315,12.2,20.2,"40,3",15.0,10,2.3
2021-08-10 00:00:00,338,16.6,24.1,,21.0,8,2.6
2021-08-11 00:00:00,292,13.9,21.3,"81,7",21.0,11,2.7
2021-08-12 00:00:00,258,12.0,21.1,"87,0",14.0,10,2.7
2021-08-13 00:00:00,279,12.3,21.0,"94,7",22.0,10,2.7
