Date,Station1_CO,Station1_NO2,Station1_NOx,Station1_PM10,Station1_SO2,Station2_CO,Station2_NO2,Station2_NOx,Station2_O3,Station2_PM10,Station2_SO2,Year,Month,Day,WeekDay,Season
2014-05-09,238.0,38.0,70.1,17.0,3.0,733.0,16.1,25.0,,12.0,4.9,2014,5,9,Friday,Spring
2014-05-10,171.0,29.1,46.2,16.0,2.5,709.0,13.3,17.9,,11.0,5.2,2014,5,10,Saturday,Spring
2014-05-11,174.0,28.2,40.4,16.0,2.4,736.0,9.6,12.4,69.0,15.0,5.5,2014,5,11,Sunday,Spring
2014-05-12,205.0,34.0,56.7,14.0,2.3,756.0,9.3,12.2,73.6,7.0,5.0,2014,5,12,Monday,Spring
2014-05-13,268.0,43.4,86.6,17.0,2.4,715.0,13.4,18.4,67.0,9.0,5.1,2014,5,13,Tuesday,Spring
2014-05-14,179.0,18.3,30.4,14.0,2.1,823.0,15.1,20.3,65.3,12.0,5.2,2014,5,14,Wednesday,Spring
2014-05-15,171.0,15.0,24.5,9.0,2.1,851.0,9.0,12.6,76.4,8.0,5.2,2014,5,15,Thursday,Spring
2014-05-16,313.0,33.3,65.7,13.0,2.5,846.0,15.0,19.6,53.9,8.0,5.8,2014,5,16,Friday,Spring
2014-05-17,310.0,30.6,47.5,11.0,2.0,826.0,9.4,12.8,63.4,8.0,4.6,2014,5,17,Saturday,Spring
2014-05-18,361.0,29.5,52.3,16.0,2.0,828.0,8.1,12.3,57.8,11.0,4.3,2014,5,18,Sunday,Spring
2014-05-19,458.0,46.8,84.7,23.0,2.4,812.0,19.2,29.7,74.4,14.0,5.1,2014,5,19,Monday,Spring
2014-05-20,434.0,45.9,72.1,26.0,2.3,782.0,24.3,29.2,71.9,17.0,5.0,2014,5,20,Tuesday,Spring
2014-05-21,432.0,45.9,74.2,27.0,2.4,771.0,24.7,29.1,72.7,18.0,5.0,2014,5,21,Wednesday,Spring
2014-05-22,342.0,48.1,80.3,31.0,3.6,727.0,15.3,17.6,77.7,22.0,5.4,2014,5,22,Thursday,Spring
2014-05-23,253.0,45.8,68.2,33.0,4.6,547.0,16.9,19.1,62.1,24.0,4.6,2014,5,23,Friday,Spring
2014-05-24,211.0,27.6,40.5,33.0,4.5,602.0,14.9,16.9,61.2,30.0,5.2,2014,5,24,Saturday,Spring
2014-05-25,197.0,22.3,30.8,23.0,4.1,611.0,10.6,11.9,63.4,21.0,4.0,2014,5,25,Sunday,Spring
2014-05-26,222.0,31.2,44.5,21.0,4.4,540.0,24.9,39.0,56.1,16.0,3.7,2014,5,26,Monday,Spring
2014-05-27,237.0,34.1,56.3,23.0,4.5,493.0,8.7,10.2,55.0,17.0,4.0,2014,5,27,Tuesday,Spring
2014-05-28,277.0,43.9,75.1,19.0,4.3,417.0,7.7,9.7,68.1,10.0,4.1,2014,5,28,Wednesday,Spring
2014-05-29,284.0,38.9,67.0,17.0,4.1,490.0,9.4,11.7,57.6,9.0,4.6,2014,5,29,Thursday,Spring
2014-05-30,197.0,15.0,26.8,19.0,3.8,484.0,6.6,10.4,46.7,19.0,4.2,2014,5,30,Friday,Spring
2014-05-31,197.0,10.4,17.5,16.0,3.7,486.0,6.1,8.9,61.3,16.0,4.4,2014,5,31,Saturday,Spring
